airport,type,city,country,iata,icao,faa
Artesia Municipal,Small,Artesia,United,ATS,KATS,ATS
Atmautluak,Small,Atmautluak,United,ATT,,4A2
Casco Cove Coast Guard Station,Small,Attu,United,ATU,PAAT,ATU
Airport,Type,City,Country,IATA,ICAO,FAA
Ati,Small,Ati,Chad,ATV,FTTI,
Appleton International,Small,Appleton,United,ATW,KATW,ATW
Atbasar,Small,Atbasar,Kazakhstan,ATX,,
Watertown Regional,Medium,Watertown,United,ATY,KATY,ATY
Assiut International,Medium,Assiut,Egypt,ATZ,HEAT,
Queen Beatrix International,Medium,Oranjestad,Aruba,AUA,TNCA,
"Itauba
Closed",Closed,Itauba,Brazil,AUB,,
Santiago Perez,Medium,Arauca,Colombia,AUC,SKUC,
Augustus Downs,Small,,Australia,AUD,YAGD,
Abu Rudeis,Small,Abu,Egypt,AUE,,
Auxerre-Branches,Medium,Auxerre/Branches,France,AUF,LFLA,
Augusta State,Medium,Augusta,United,AUG,KAUG,AUG
Abu Dhabi International,Large,Abu,United,AUH,OMAA,
Aua Island,Small,Aua,Papua,AUI,AYND,
Ambunti,Small,Ambunti,Papua,AUJ,AYAT,
Airport,Type,City,Country,IATA,ICAO,FAA
Alakanuk,Small,Alakanuk,United,AUK,PAUK,AUK
Aur Island,Small,Aur,Marshall,AUL,,
Austin Municipal,Small,Austin,United,AUM,KAUM,AUM
Auburn Municipal,Small,Auburn,United,AUN,KAUN,AUN
Auburn Opelika Robert G. Pitts,Small,Auburn,United,AUO,KAUO,AUO
Agaun,Small,,Papua,AUP,AYAG,
Hiva Oa-Atuona,Medium,Hiva,French,AUQ,NTMN,
Aurillac,Medium,Aurillac,France,AUR,LFLW,
Austin Bergstrom International,Large,Austin,United,AUS,KAUS,AUS
Atauro,Small,Atauro,Timor-Leste,AUT,WPAT,
Aurukun,Small,Aurukun,Australia,AUU,YAUR,
Aumo,Small,Aumo,Papua,AUV,AYUM,
Wausau Downtown,Medium,Wausau,United,AUW,KAUW,AUW
Araguaína,Small,Araguaína,Brazil,AUX,SWGN,
Aneityum,Small,Anatom,Vanuatu,AUY,NVVA,
Airport,Type,City,Country,IATA,ICAO,FAA
Aurora Municipal,Small,Chicago/Aurora,United,AUZ,KARR,ARR
Anshun Huangguoshu,Medium,Anshun,China,AVA,ZUAS,
Aviano Air Base,Medium,Aviano,Italy,AVB,LIPA,
"Avoriaz
Closed",Closed,Avoriaz,France,AVF,,
Auvergne,Small,,Australia,AVG,YAUV,
Maximo Gomez,Medium,Ciego,Cuba,AVI,MUCA,
Arvaikheer,Medium,Arvaikheer,Mongolia,AVK,ZMAH,
Asheville Regional,Large,Asheville,United,AVL,KAVL,AVL
Avignon-Caumont,Medium,Avignon/Caumont,France,AVN,LFMV,
Avon Park Executive,Small,Avon,United,AVO,KAVO,AVO
Wilkes Barre Scranton International,Medium,Wilkes-Barre/Scranton,United,AVP,KAVP,AVP
Alverca,Medium,Vila,Portugal,AVR,LPAR,
Avu Avu,Small,,Solomon,AVU,AGGJ,
Avalon,Medium,Melbourne,Australia,AVV,YMAV,
Marana Regional,Small,Tucson,United,AVW,KAVQ,AVQ
Airport,Type,City,Country,IATA,ICAO,FAA
Awassa,Small,Awassa,Ethiopia,AWA,HALA,
Aniwa,Small,Aniwa,Vanuatu,AWD,NVVB,
Alowe,Small,Wonga,Gabon,AWE,FOGW,
"Awareh
Closed",Closed,Awareh,Ethiopia,AWH,,
Wake Island Airfield,Medium,Wake,United,AWK,PWAK,AWK
West Memphis Municipal,Small,West,United,AWM,KAWM,AWM
Alton Downs,Small,,Australia,AWN,YADS,
Austral Downs,Small,,Australia,AWP,YAUS,
"Awar
Closed",Closed,Awar,Papua,AWR,,
Ahwaz,Medium,Ahwaz,Iran,AWZ,OIAW,
Wallblake,Medium,The,Anguilla,AXA,TQPF,
Maxson Airfield,Small,Alexandria,United,AXB,89NY,89NY
Aramac,Small,,Australia,AXC,YAMC,
Dimokritos,Medium,Alexandroupolis,Greece,AXD,LGAL,
Xanxerê,Small,Xanxerê,Brazil,AXE,SSXX,
Airport,Type,City,Country,IATA,ICAO,FAA
Algona Municipal,Small,Algona,United,AXG,KAXA,AXA
Amakusa,Small,,Japan,AXJ,RJDA,
Ataq,Medium,,Yemen,AXK,OYAT,
Alexandria Homestead,Small,,Australia,AXL,YALX,
El Eden,Medium,Armenia,Colombia,AXM,SKAR,
Chandler Field,Medium,Alexandria,United,AXN,KAXN,AXN
Spring Point,Medium,Spring,Bahamas,AXP,MYAP,
Arutua,Medium,,French,AXR,NTGU,
Altus Quartz Mountain Regional,Small,Altus,United,AXS,KAXS,AXS
Akita,Medium,Akita,Japan,AXT,RJSK,
Axum,Medium,,Ethiopia,AXU,HAAX,
Neil Armstrong,Small,Wapakoneta,United,AXV,KAXV,AXV
Angel Fire,Small,Angel,United,AXX,KAXX,AXX
Ayapel,Small,Ayapel,Colombia,AYA,,
Ayacucho,Small,Ayacucho,Colombia,AYC,,
Alroy Downs,Small,Alroy,Australia,AYD,,
"Ft Devens Moore Army Air Field
Closed",Closed,,United,AYE,KAYE,
Yaguara,Small,San,Colombia,AYG,SKYA,
"RAF Alconbury
Closed",Closed,Huntingdon,United,AYH,EGWZ,
Yari,Small,Yari,Colombia,AYI,,
Arkalyk North,Small,Arkalyk,Kazakhstan,AYK,UAUR,
Anthony Lagoon,Small,,Australia,AYL,YANL,
Anyang,Small,Anyang,China,AYN,ZHAY,
Juan De Ayolas,Medium,Ayolas,Paraguay,AYO,SGAY,
Coronel FAP Alfredo Mendivil Duarte,Medium,Ayacucho,Perú,AYP,SPHO,
Airport,Type,City,Country,IATA,ICAO,FAA
Ayers Rock Connellan,Medium,Ayers,Australia,AYQ,YAYE,
Ayr,Small,,Australia,AYR,YAYR,
Waycross Ware County,Small,Waycross,United,AYS,KAYS,AYS
Antalya International,Large,Antalya,Turkey,AYT,LTAI,
Aiyura,Small,Aiyura,Papua,AYU,AYAY,
Ayawasi,Small,Ayawasi-Papua,Indonesia,AYW,WASA,
Arugam Bay SPB,Seaplane,Pottuvil,Sri,AYY,,
"Zahn's
Closed",Closed,Amityville,United,AYZ,,
Phoenix-Mesa-Gateway,Medium,Phoenix,United,AZA,KIWA,IWA
Amazon Bay,Small,,Papua,AZB,,
Shahid Sadooghi,Medium,Yazd,Iran,AZD,OIYY,
Pablo L. Sidar,Small,Apatzingán,Mexico,AZG,MMAG,
Bateen,Medium,,United,AZI,OMAD,
Fazenda Tucunaré,Small,Sapezal,Brazil,AZL,SWTU,
Andizhan,Small,Andizhan,Uzbekistan,AZN,UTKA,
Airport,Type,City,Country,IATA,ICAO,FAA
Kalamazoo Battle Creek International,Medium,Kalamazoo,United,AZO,KAZO,AZO
Atizapan De Zaragoza,Small,,Mexico,AZP,MMJC,
Touat Cheikh Sidi Mohamed Belkebir,Medium,,Algeria,AZR,DAUA,
Samaná El Catey International,Medium,Samana,Dominican,AZS,MDCY,
Zapatoca,Small,Zapatoca,Colombia,AZT,,
Ambriz,Small,Ambriz,Angola,AZZ,FNAM,
Bialla,Small,"Bialla,",Papua,BAA,AYBL,
Beale Air Force Base,Large,Marysville,United,BAB,KBAB,BAB
Barranca De Upia,Small,Barranca,Colombia,BAC,,
Barksdale Air Force Base,Large,Bossier,United,BAD,KBAD,BAD
Barcelonnette - Saint-Pons,Small,Le,France,BAE,LFMR,
Westfield-Barnes Regional,Medium,Westfield/Springfield,United,BAF,KBAF,BAF
Loakan,Medium,Baguio,Philippines,BAG,RPUB,
Bahrain International,Large,Manama,Bahrain,BAH,OBBI,
Buenos Aires,Medium,Punta,Costa,BAI,MRBA,
Bali,Small,Unea,Papua,BAJ,,
Batman,Medium,Batman,Turkey,BAL,LTCJ,
Battle Mountain,Small,Battle,United,BAM,KBAM,BAM
Basongo,Small,Basongo,Congo,BAN,FZVR,
"Baibara
Closed",Closed,Nabai,Papua,BAP,,
Ernesto Cortissoz International,Medium,Barranquilla,Colombia,BAQ,SKBQ,
Airport,Type,City,Country,IATA,ICAO,FAA
Ballalae,Small,Ballalae,Solomon,BAS,AGGE,
Chafei Amsei,Medium,Barretos,Brazil,BAT,SNBA,
Bauru,Medium,Bauru,Brazil,BAU,SBBU,
Baotou,Medium,Baotou,China,BAV,ZBOW,
"Biawonque
Closed",Closed,Biawonque,Gabon,BAW,,
Barnaul,Medium,Barnaul,Russia,BAX,UNBB,
Tautii Magheraus,Medium,Baia,Romania,BAY,LRBM,
Barcelos,Small,Barcelos,Brazil,BAZ,SWBC,
Balmaceda,Medium,Balmaceda,Chile,BBA,SCBA,
Benson Municipal,Small,Benson,United,BBB,KBBB,BBB
Bay City Municipal,Small,Bay,United,BBC,KBYY,BYY
Curtis Field,Medium,Brady,United,BBD,KBBD,BBD
Big Bell,Small,Big,Australia,BBE,YBBE,
"Burlington
Closed",Closed,Burlington,United,BBF,,
Butaritari Atoll,Small,Butaritari,Kiribati,BBG,NGTU,
Airport,Type,City,Country,IATA,ICAO,FAA
Barth,Small,,Germany,BBH,EDBH,
Biju Patnaik,Medium,Bhubaneswar,India,BBI,VEBS,
Bitburg,Small,Bitburg,Germany,BBJ,EDRB,
Kasane,Medium,Kasane,Botswana,BBK,FBKE,
Ballera,Small,,Australia,BBL,YLLE,
Battambang,Medium,Battambang,Cambodia,BBM,VDBG,
Bario,Medium,Bario,Malaysia,BBN,WBGZ,
Berbera,Medium,Berbera,Somalia,BBO,HCMI,
Bembridge,Small,Bembridge,United,BBP,EGHJ,
Codrington,Small,Codrington,Antigua,BBQ,TAPH,
Baillif,Small,Basse,Guadeloupe,BBR,TFFB,
Blackbushe,Medium,Yateley,United,BBS,EGLK,
Berbérati,Medium,Berbérati,Central,BBT,FEFT,
Băneasa International,Medium,Bucharest,Romania,BBU,LRBS,
Nero-Mer,Small,Grand-Béréby,Côte,BBV,DIGN,
Airport,Type,City,Country,IATA,ICAO,FAA
Broken Bow Municipal,Small,Broken,United,BBW,KBBW,BBW
Wings Field,Small,Philadelphia,United,BBX,KLOM,LOM
Bambari,Small,Bambari,Central,BBY,FEFM,
Zambezi,Small,Zambezi,Zambia,BBZ,FLZB,
Gustavo Rizo,Medium,Baracoa,Cuba,BCA,MUBA,
Virginia Tech Montgomery Executive,Small,Blacksburg,United,BCB,KBCB,BCB
Bear Creek 3,Small,Bear,United,BCC,Z48,Z48
Bacolod-Silay City International,Medium,Bacolod,Philippines,BCD,RPVB,
Bryce Canyon,Medium,Bryce,United,BCE,KBCE,BCE
Bouca,Small,Bouca,Central,BCF,FEGU,
Bemichi,Small,Bemichi,Guyana,BCG,SYBE,
Cakung,Medium,Baucau,Timor-Leste,BCH,WPEC,
Barcaldine,Medium,Barcaldine,Australia,BCI,YBAR,
"Baca Grande Airfield
Closed",Closed,Crestone,United,BCJ,,
[Duplicate] Bolwarra,Small,Bolwarra,Australia,BCK,YBWR,
Airport,Type,City,Country,IATA,ICAO,FAA
Barra del Colorado,Medium,Pococi,Costa,BCL,MRBC,
Bacău,Medium,Bacău,Romania,BCM,LRBC,
Barcelona International,Large,Barcelona,Spain,BCN,LEBL,
Baco,Small,Baco,Ethiopia,BCO,HABC,
Bambu,Small,Bambu,Papua,BCP,AYBC,
Brak,Medium,Brak,Libya,BCQ,,
Novo Campo,Small,Boca,Brazil,BCR,SWNK,
Southern Seaplane,Small,Belle,United,BCS,65LA,65LA
Boca Raton,Small,Boca,United,BCT,KBCT,BCT
Sir Abubakar Tafawa Balewa International,Medium,Bauchi,Nigeria,BCU,DNBC,
Belmopan,Small,Belmopan,Belize,BCV,,
Benguera Island,Medium,Benguera,Mozambique,BCW,,
Beloretsk,Small,Beloretsk,Russia,BCX,UWUB,
"Bulchi
Closed",Closed,Bulchi,Ethiopia,BCY,,
"Brooklyn TMC - Olivers Garage Helipad
Closed",Closed,Brooklyn,Australia,BCZ,,
Airport,Type,City,Country,IATA,ICAO,FAA
L.F. Wade International International,Medium,Hamilton,Bermuda,BDA,TXKF,
Bundaberg,Medium,Bundaberg,Australia,BDB,YBUD,
Barra do Corda,Small,Barra,Brazil,BDC,SNBC,
Badu Island,Small,,Australia,BDD,YBAU,
Baudette International,Medium,Baudette,United,BDE,KBDE,BDE
Rinkenberger Restricted Landing Area,Small,Bradford,United,BDF,3IS8,3IS8
Blanding Municipal,Small,Blanding,United,BDG,KBDG,BDG
Bandar Lengeh,Medium,Bandar,Iran,BDH,OIBL,
Bird Island,Small,Bird,Seychelles,BDI,FSSB,
Syamsudin Noor,Small,Banjarmasin-Borneo,Indonesia,BDJ,WAOO,
Soko,Small,Bondoukou,Côte,BDK,DIBU,
Bradley International,Large,Hartford,United,BDL,KBDL,BDL
Bandırma,Medium,,Turkey,BDM,LTBG,
Talhar,Small,Badin,Pakistan,BDN,OPTH,
Husein Sastranegara International,Medium,Bandung-Java,Indonesia,BDO,WICC,
Airport,Type,City,Country,IATA,ICAO,FAA
Bhadrapur,Small,Bhadrapur,Nepal,BDP,VNCG,
Vadodara,Medium,Vadodara,India,BDQ,VABO,
Igor I Sikorsky Memorial,Medium,Bridgeport,United,BDR,KBDR,BDR
Brindisi – Salento,Medium,Brindisi,Italy,BDS,LIBR,
Gbadolite,Medium,,Congo,BDT,FZFD,
Bardufoss,Medium,Målselv,Norway,BDU,ENDU,
Moba,Small,Moba,Congo,BDV,FZRB,
Bedford Downs,Small,,Australia,BDW,YBDF,
Broadus,Small,Broadus,United,BDX,00F,00F
Bandon State,Small,Bandon,United,BDY,S05,S05
Baindoung,Small,,Papua,BDZ,AYBG,
"Bereina
Closed",Closed,Bereina,Papua,BEA,,
Benbecula,Medium,Balivanich,United,BEB,EGPL,
Beech Factory,Small,Wichita,United,BEC,KBEC,BEC
Laurence G Hanscom Field,Medium,Bedford,United,BED,KBED,BED
Beagle Bay,Small,Beagle,Australia,BEE,YBGB,
Bluefields,Medium,Bluefileds,Nicaragua,BEF,MNBL,
Belgrade Nikola Tesla,Large,Belgrade,Serbia,BEG,LYBE,
Southwest Michigan Regional,Small,Benton,United,BEH,KBEH,BEH
Beica,Small,Beica,Ethiopia,BEI,HABE,
Barau(Kalimaru),Small,Tanjung,Indonesia,BEJ,WALK,
Bareilly Air Force Station,Medium,Bareilly,India,BEK,VIBY,
Val de Cans/Júlio Cezar Ribeiro International,Large,Belém,Brazil,BEL,SBBE,
Bossembélé,Small,Bossembélé,Central,BEM,FEFL,
Benina International,Medium,Benghazi,Libya,BEN,HLLB,
Airport,Type,City,Country,IATA,ICAO,FAA
Lake Macquarie,Small,,Australia,BEO,YLMQ,
Bellary,Medium,Bellary,India,BEP,VOBI,
RAF Honington,Medium,Thetford,United,BEQ,EGXH,
Berlin Brandenburg (U.C.),Medium,Berlin,Germany,BER,EDDB,
Brest Bretagne,Medium,Brest/Guipavas,France,BES,LFRB,
Bethel,Medium,Bethel,United,BET,PABE,BET
Bedourie,Medium,,Australia,BEU,YBIE,
Beersheba (Teyman),Small,Beersheba,Israel,BEV,LLBS,
Beira,Medium,Beira,Mozambique,BEW,FQBR,
RAF Benson,Medium,Benson,United,BEX,EGUB,
Beirut Rafic Hariri International,Large,Beirut,Lebanon,BEY,OLBA,
Beru,Small,Beru,Kiribati,BEZ,NGBR,
Bahía Negra,Small,Bahía,Paraguay,BFA,SGBN,
"Blue Fox Bay
Closed",Closed,Blue,United,BFB,,
[Duplicate] Bloomfield,Small,Bloomfield,Australia,BFC,YBMD,
Airport,Type,City,Country,IATA,ICAO,FAA
Bradford Regional,Medium,Bradford,United,BFD,KBFD,BFD
Bielefeld,Small,Bielefeld,Germany,BFE,EDLI,
Western Neb. Rgnl/William B. Heilig,Medium,Scottsbluff,United,BFF,KBFF,BFF
Bullfrog Basin,Small,Glen,United,BFG,U07,U07
Bacacheri,Medium,Curitiba,Brazil,BFH,SBBI,
Boeing Field King County International,Large,Seattle,United,BFI,KBFI,BFI
Buckley Air Force Base,Medium,Aurora,United,BFK,KBKF,BKF
Meadows Field,Medium,Bakersfield,United,BFL,KBFL,BFL
Mobile Downtown,Medium,Mobile,United,BFM,KBFM,BFM
Bram Fischer International,Medium,Bloemfontain,South,BFN,FABL,
Buffalo Range,Medium,Chiredzi,Zimbabwe,BFO,FVCZ,
Beaver County,Medium,Beaver,United,BFP,KBVI,BVI
Bahia Piña,Small,Bahia,Panama,BFQ,,
Virgil I Grissom Municipal,Small,Bedford,United,BFR,KBFR,BFR
Belfast International,Large,Belfast,United,BFS,EGAA,
Airport,Type,City,Country,IATA,ICAO,FAA
Bengbu,Medium,Bengbu,China,BFU,ZSBB,
Buri Ram,Medium,,Thailand,BFV,VTUO,
Sidi Bel Abbes,Small,Sidi,Algeria,BFW,DAOS,
Bafoussam,Medium,Bafoussam,Cameroon,BFX,FKKU,
Palonegro,Medium,Bucaramanga,Colombia,BGA,SKBG,
Booue,Small,Booue,Gabon,BGB,FOGB,
Bragança,Medium,Bragança,Portugal,BGC,LPBG,
Hutchinson County,Small,Borger,United,BGD,KBGD,BGD
Decatur County Industrial Air Park,Small,Bainbridge,United,BGE,KBGE,BGE
Bangui M'Poko International,Medium,Bangui,Central,BGF,FEFF,
Bingöl Çeltiksuyu,Small,Bingöl,Turkey,BGG,LTCU,
Abbaye,Small,Boghe,Mauritania,BGH,GQNE,
Sir Grantley Adams International,Medium,Bridgetown,Barbados,BGI,TBPB,
Borgarfjörður eystri,Small,Borgarfjörður,Iceland,BGJ,BIBF,
Big Creek,Medium,Big,Belize,BGK,,
Airport,Type,City,Country,IATA,ICAO,FAA
Baglung,Small,Baglung,Nepal,BGL,VNBL,
Greater Binghamton/Edwin A Link field,Medium,Binghamton,United,BGM,KBGM,BGM
"Brüggen Air Base
Closed",Closed,,Germany,BGN,ETUR,
Bergen Flesland,Large,Bergen,Norway,BGO,ENBR,
"Bongo
Closed",Closed,Bongo,Gabon,BGP,,
Bangor International,Large,Bangor,United,BGR,KBGR,BGR
Bagdad,Small,Bagdad,United,BGT,E51,E51
Bangassou,Small,Bangassou,Central,BGU,FEFG,
Aeroclube de Bento Gonçalves,Small,Bento,Brazil,BGV,SSBG,
Baghdad International,Large,Baghdad,Iraq,BGW,ORBI,
Comandante Gustavo Kraemer,Medium,Bagé,Brazil,BGX,SBBG,
Il Caravaggio International,Large,Bergamo,Italy,BGY,LIME,
Braga Municipal Aerodrome,Medium,Braga,Portugal,BGZ,LPBR,
Los Perales,Small,Bahía,Ecuador,BHA,SESV,
Hancock County-Bar Harbor,Medium,Bar,United,BHB,KBHB,BHB
Airport,Type,City,Country,IATA,ICAO,FAA
Bhurban,Small,Bhurban,Pakistan,BHC,,
George Best Belfast City,Large,Belfast,United,BHD,EGAC,
Woodbourne,Medium,Blenheim,New,BHE,NZWB,
Bahia Cupica,Small,Bahía,Colombia,BHF,,
Brus Laguna,Small,Brus,Honduras,BHG,MHBL,
Bisha,Medium,,Saudi,BHH,OEBH,
Comandante Espora,Medium,Bahia,Argentina,BHI,SAZB,
Bhuj,Medium,Bhuj,India,BHJ,VABJ,
Bukhara,Medium,Bukhara,Uzbekistan,BHK,UTSB,
Bahía de los Ángeles,Small,Bahía,Mexico,BHL,,
Birmingham-Shuttlesworth International,Large,Birmingham,United,BHM,KBHM,BHM
Beihan,Medium,,Yemen,BHN,OYBN,
Raja Bhoj International,Medium,Bhopal,India,BHO,VABP,
Bhojpur,Small,Bhojpur,Nepal,BHP,VNBJ,
Broken Hill,Medium,Broken,Australia,BHQ,YBHI,
Airport,Type,City,Country,IATA,ICAO,FAA
Bharatpur,Small,Bharatpur,Nepal,BHR,VNBP,
Bathurst,Medium,Bathurst,Australia,BHS,YBTH,
"Brighton Downs
Closed",Closed,,Australia,BHT,,
Bhavnagar,Medium,Bhavnagar,India,BHU,VABV,
Bahawalpur,Medium,Bahawalpur,Pakistan,BHV,OPBW,
Bhagatanwala,Small,Bhagatanwala,Pakistan,BHW,OPBG,
Birmingham International,Large,Birmingham,United,BHX,EGBB,
Beihai,Small,Beihai,China,BHY,ZGBH,
Bastia-Poretta,Medium,Bastia/Poretta,France,BIA,LFKB,
Baidoa,Small,Baidoa,Somalia,BIB,HCMB,
"Big Creek
Closed",Closed,Big,United,BIC,,
Block Island State,Small,Block,United,BID,KBID,BID
Beatrice Municipal,Small,Beatrice,United,BIE,KBIE,BIE
Biggs Army Air Field (Fort Bliss),Medium,Fort,United,BIF,KBIF,BIF
Allen Army Airfield,Medium,Delta,United,BIG,PABI,BIG
Eastern Sierra Regional,Medium,Bishop,United,BIH,KBIH,BIH
Enyu Airfield,Small,Bikini,Marshall,BII,,
"Biliau
Closed",Closed,Biliau,Papua,BIJ,,
Frans Kaisiepo,Medium,Biak-Supiori,Indonesia,BIK,WABB,
Billings Logan International,Large,Billings,United,BIL,KBIL,BIL
South Bimini,Medium,South,Bahamas,BIM,MYBS,
Bamiyan,Small,Bamiyan,Afghanistan,BIN,OABN,
Bilbao,Medium,Bilbao,Spain,BIO,LEBB,
Bulimba,Small,,Australia,BIP,YBWM,
Biarritz-Anglet-Bayonne,Medium,Biarritz/Anglet/Bayonne,France,BIQ,LFBZ,
Airport,Type,City,Country,IATA,ICAO,FAA
Biratnagar,Medium,Biratnagar,Nepal,BIR,VNVT,
Bismarck Municipal,Medium,Bismarck,United,BIS,KBIS,BIS
Baitadi,Small,Baitadi,Nepal,BIT,VNBT,
Bildudalur,Small,Bildudalur,Iceland,BIU,BIBD,
Bria,Small,Bria,Central,BIV,FEFR,
Billiluna,Small,,Australia,BIW,YBIL,
Keesler Air Force Base,Medium,Biloxi,United,BIX,KBIX,BIX
Bisho,Medium,Bisho,South,BIY,FABE,
"Bimin
Closed",Closed,,Papua,BIZ,,
Soummam,Medium,Béjaïa,Algeria,BJA,DAAE,
Bojnord,Medium,Bojnord,Iran,BJB,OIMN,
Rocky Mountain Metropolitan,Medium,Denver,United,BJC,KBJC,BJC
Bakkafjörður,Small,Bakkafjörður,Iceland,BJD,BIBK,
Baleela,Small,Baleela,Sudan,BJE,,
Old Båtsfjord,Medium,Båtsfjord,Norway,BJF,ENBS,
Airport,Type,City,Country,IATA,ICAO,FAA
Boalang,Small,Boalang-Celebes,Indonesia,BJG,,
Bajhang,Small,Bajhang,Nepal,BJH,VNBG,
Bemidji Regional,Medium,Bemidji,United,BJI,KBJI,BJI
Wayne County,Small,Wooster,United,BJJ,KBJJ,BJJ
Nangasuri,Small,Maikoor,Indonesia,BJK,WAPK,
Banjul International,Medium,Banjul,Gambia,BJL,GBYD,
Bujumbura International,Medium,Bujumbura,Burundi,BJM,HBBA,
"Bajone
Closed",Closed,Bajone,Mozambique,BJN,,
Bermejo,Medium,Bermejo,Bolivia,BJO,SLBJ,
Estadual Arthur Siqueira,Small,Bragança,Brazil,BJP,SBBP,
Bahja,Small,Bahja,Oman,BJQ,,
Bahir Dar,Medium,Bahir,Ethiopia,BJR,HABD,
Bentota River Waterdrome,Seaplane,Bentota,Sri,BJT,,
Bajura,Small,Bajura,Nepal,BJU,VNBR,
Milas Bodrum International,Large,Bodrum,Turkey,BJV,LTFE,
Airport,Type,City,Country,IATA,ICAO,FAA
Bajawa Soa,Small,Bajawa,Indonesia,BJW,WATB,
Del Bajío International,Medium,Silao,Mexico,BJX,MMLO,
Batajnica Air Base,Medium,Batajnica,Serbia,BJY,LYBT,
Badajoz,Medium,Badajoz,Spain,BJZ,LEBZ,
"Bykovo
Closed",Closed,Moscow,Russia,BKA,UUBB,
Nal,Medium,Bikaner,India,BKB,VIBK,
Buckland,Medium,Buckland,United,BKC,PABL,BVK
Stephens County,Small,Breckenridge,United,BKD,KBKD,BKD
Baker City Municipal,Medium,Baker,United,BKE,KBKE,BKE
Lake Brooks,Seaplane,Katmai,United,BKF,5Z9,5Z9
Branson,Small,Branson,United,BKG,KBBG,BBG
Barking Sands,Medium,Kekaha,United,BKH,PHBK,BKH
Kota Kinabalu International,Medium,Kota,Malaysia,BKI,WBKK,
Boké Baralande,Small,Boké,Guinea,BKJ,GUOK,
Suvarnabhumi,Large,Bangkok,Thailand,BKK,VTBS,
Airport,Type,City,Country,IATA,ICAO,FAA
Burke Lakefront,Medium,Cleveland,United,BKL,KBKL,BKL
Bakalalan,Small,Bakalalan,Malaysia,BKM,WBGQ,
"Balkanabat
Closed",Closed,Balkanabat,Niger,BKN,,
Senou,Medium,Senou,Mali,BKO,GABS,
Barkly Downs,Small,,Australia,BKP,YBAW,
Blackall,Medium,Blackall,Australia,BKQ,YBCK,
Bokoro,Small,Bokoro,Chad,BKR,FTTK,
Fatmawati Soekarno,Medium,Bengkulu-Sumatra,Indonesia,BKS,WIGG,
Allen C Perkinson Blackstone Army Air Field,Small,Blackstone,United,BKT,KBKT,BKT
Betioky,Small,Betioky,Madagascar,BKU,FMSV,
Raleigh County Memorial,Medium,Beckley,United,BKW,KBKW,BKW
Brookings Regional,Small,Brookings,United,BKX,KBKX,BKX
Bukavu Kavumu,Medium,,Congo,BKY,FZMA,
Bukoba,Small,Bukoba,Tanzania,BKZ,HTBU,
General José Antonio Anzoategui International,Medium,Barcelona,Venezuela,BLA,SVBC,
Airport,Type,City,Country,IATA,ICAO,FAA
Panama Pacific International,Small,Panamá,Panama,BLB,MPPA,
Bali,Small,Bali,Cameroon,BLC,FKKG,
Boulder City Municipal,Small,Boulder,United,BLD,KBVU,BVU
Borlange,Medium,,Sweden,BLE,ESSD,
Mercer County,Medium,Bluefield,United,BLF,KBLF,BLF
Belaga,Small,Belaga,Malaysia,BLG,WBGC,
Blythe,Medium,Blythe,United,BLH,KBLH,BLH
Bellingham International,Medium,Bellingham,United,BLI,KBLI,BLI
Batna,Medium,Batna,Algeria,BLJ,DABT,
Blackpool International,Medium,Blackpool,United,BLK,EGNH,
Billund,Large,Billund,Denmark,BLL,EKBI,
Benalla,Medium,,Australia,BLN,YBLA,
Hjaltabakki,Small,Blönduós,Iceland,BLO,BIBL,
Huallaga,Small,Bellavista,Perú,BLP,SPBL,
Bologna Guglielmo Marconi,Large,Bologna,Italy,BLQ,LIPE,
Airport,Type,City,Country,IATA,ICAO,FAA
Kempegowda International,Large,Bangalore,India,BLR,VOBL,
Bollon,Small,,Australia,BLS,YBLL,
Blackwater,Medium,,Australia,BLT,YBTR,
Blue Canyon Nyack,Small,Emigrant,United,BLU,KBLU,BLU
Scott AFB/Midamerica,Large,Belleville,United,BLV,KBLV,BLV
"Bellows AFS (Bellows Field)
Closed",Closed,Waimanalo,United,BLW,,
Belluno,Small,Belluno,Italy,BLX,LIDB,
Belmullet Aerodrome,Small,Belmullet,Ireland,BLY,EIBT,
Chileka International,Medium,Blantyre,Malawi,BLZ,FWCL,
Stockholm-Bromma,Medium,Stockholm,Sweden,BMA,ESSB,
Bumbar,Small,Bumbar,Congo,BMB,FZFU,
Brigham City,Small,Brigham,United,BMC,KBMC,BMC
Belo sur Tsiribihina,Small,Belo,Madagascar,BMD,FMML,
Broome International,Medium,Broome,Australia,BME,YBRM,
Bakouma,Small,Bakouma,Central,BMF,FEGM,
Monroe County,Medium,Bloomington,United,BMG,KBMG,BMG
Bomai,Small,Bomai,Papua,BMH,AYBO,
Central Illinois Regional at Bloomington-Normal,Large,Bloomington/Normal,United,BMI,KBMI,BMI
Baramita,Small,Baramita,Guyana,BMJ,SYBR,
Borkum,Small,Borkum,Germany,BMK,EDWR,
Berlin Regional,Small,Berlin,United,BML,KBML,BML
Bitam,Medium,Bitam,Gabon,BMM,FOOB,
Bamarni,Small,Bamarni,Iraq,BMN,ORBB,
Banmaw,Small,Banmaw,Burma,BMO,VYBM,
Brampton Island,Small,,Australia,BMP,YBPI,
Airport,Type,City,Country,IATA,ICAO,FAA
Bamburi,Small,,Kenya,BMQ,HKBM,
Baltrum,Small,Baltrum,Germany,BMR,EDWZ,
